        hue,r,g,b,hex,name
7.35,107,64,58,664238,brunette
16.36,99,75,66,6e403c,sable
11.25,115,63,51,6b4139,cinnamon
66,99,100,90,63403a,fudgesickle
8.73,139,92,84,734b42,mink
2.86,126,66,63,633f33,cappuccino
3.87,88,59,57,8b645a,cognac
3.43,85,52,50,7e5c54,nutmeg
5.81,88,60,57,58423f,french-roast
1.46,89,49,48,553b39,deep-mahogany
42,80,77,70,583432,rum-raisin
5.14,130,66,60,593c39,brown-stone
13.78,124,67,50,503130,bitter-chocolate
1.52,136,59,57,824d46,mahogany
1.11,104,51,50,7c423c,henna
1.79,116,51,49,884332,arabian-spice
360,106,53,53,683b39,hot-chocolate
167.01,96,230,201,743332,russet-brown
51.43,243,236,194,6a3331,madder-brown
43.33,244,224,172,603535,andorra
38.82,243,213,158,f3e6c9,afterglow
36.26,237,201,146,f4ecc2,transparent-yellow
38.53,224,190,129,f3e0ac,double-cream
36.92,218,178,114,edd59e,sunlight
38.89,209,190,155,e0c992,straw
49.57,209,201,163,dabe81,jojoba
44.48,216,201,158,d1b272,rattan
40.36,220,202,165,d1be9b,boulder
41.9,217,198,154,d8c9a3,sea-mist
50,214,204,154,dcc99e,reed-yellow
30.7,212,170,126,d9caa5,chino-green
83.44,187,212,148,d6c69a,parsnip
43.82,220,196,131,d4cc9a,dusty-yellow
48.86,218,205,148,bbaa7e,silver-fern
42.67,213,187,123,dcd494,lemon-grass
45.8,207,176,76,dac483,raffia
42.04,210,169,73,d5cd94,golden-mist
39.44,188,139,45,cfbb7b,pampas
76.27,169,185,126,d2b04c,bamboo
54.55,204,193,83,bca949,cress-green
59.43,206,205,101,a98b2d,olive-oil
49.09,218,182,20,ccb97e,dried-moss
38,221,166,71,cec153,celery
15,196,142,124,dacd65,acacia
14.4,174,136,124,ddb614,sulphur
66.67,170,178,106,c4a647,oil-yellow
44.59,201,173,92,ae8e2c,green-sulphur
42.07,192,166,105,aa8805,golden-palm
45.81,188,166,95,c9b27c,cocoon
52.22,193,179,85,c0ad7c,hemp
359,189,158,167,bca66a,southern-moss
359,181,152,177,c1a65c,olivenite
134.18,170,225,183,bdb369,golden-green
51.82,239,230,173,b59e5f,antique-gold
56.47,242,237,157,aa9855,burnished-gold
57.21,237,233,151,efe1a7,french-vanilla
56.79,237,231,125,f2e6b1,pastel-yellow
56.76,240,234,129,ededb7,tender-yellow
56.84,238,232,124,ede9ad,wax-yellow
40.54,240,204,129,f0e79d,lemonade
40.94,227,200,142,eeea97,elfin-yellow
56.39,209,204,126,f0e87d,limelight
62.47,210,214,117,e3cc81,dusky-citron
54.18,229,216,95,d1c87c,muted-lime
58.66,223,220,89,d2cc81,endive
42.04,239,192,82,e5d68e,custard
59.61,222,221,67,dfd87e,canary-yellow
51.39,237,206,21,efdc75,yellow-cream
53.5,217,200,60,dec05f,cream-gold
57.16,238,231,90,eddd59,aurora
48.46,254,224,98,d9ce52,green-sheen
47.65,250,208,46,eec843,maize
43.69,247,191,41,fee715,blazing-yellow
24.42,243,192,157,fae03c,buttercup
42.07,240,214,153,f7d000,empire-yellow
35.26,255,208,141,f3bf08,lemon
41.8,255,218,133,f0c05a,mimosa
40.89,255,212,120,ffd662,aspen-gold
38.12,255,193,85,ffd02e,dandelion
43.45,243,195,69,ffda29,vibrant-yellow
46.75,255,221,101,ffd400,cyber-yellow
54.27,240,225,83,f3c12c,freesia
51.34,250,222,56,ffc300,lemon-chrome
52.81,248,222,31,f0dd9d,mellow-yellow
49.03,250,216,64,fae199,pale-banana
47.89,253,209,35,f8de8d,popcorn
36.43,246,191,106,fade85,sunshine
39.84,228,185,100,fdd878,lemon-drop
35.47,218,162,81,f6d155,primrose-yellow
37.99,197,146,58,e4bf45,super-lemon
42.47,186,141,32,dab965,misted-yellow
41.76,188,150,63,c5a253,sauterne
52.41,196,174,22,ba9238,honey
33.27,212,163,102,bc8d1f,arrowwood
42.66,205,168,77,c4962c,tawny-olive
34.29,201,150,82,d4ae40,ceylon-yellow
37.42,177,142,84,cda323,lemon-curry
35.74,176,138,82,c9a86a,fall-leaf
43.83,182,151,67,b19664,antelope
36.85,200,151,73,b08e51,mustard-gold
359,198,142,157,b68a3a,harvest-gold
41.74,203,175,111,c89720,nugget-gold
24.44,214,150,106,c6973f,golden-spice
40.88,195,159,82,cb8e16,golden-yellow
39.86,207,160,67,d6af66,ochre
37.78,209,149,47,c3964d,tinsel
44.79,193,156,47,cf9f52,bright-gold
28.76,211,148,90,d1a054,honey-gold
58.56,195,192,70,c19552,amber-gold
35.14,216,158,76,d39c43,mineral-yellow
41.38,190,154,74,c39449,narcissus
39.27,181,143,71,d8c09d,marzipan
31.02,182,125,64,be9e6f,curry
27.32,164,103,52,b59a6a,prairie-sand
359,145,94,119,b68f52,honey-mustard
77.14,130,136,115,a47d43,wood-thrush
23.27,176,116,78,91672f,golden-brown
28.42,157,117,81,825e2f,bronze-brown
41.45,151,117,41,b0885a,apple-cinnamon
41.74,152,117,37,9d7446,bone-brown
42.52,151,114,24,97754c,dijon
294.83,146,93,151,98754a,bistre
130.85,121,215,138,977547,medal-bronze
37.8,254,207,127,927240,cumin
33,255,192,115,795d34,breen
27.23,253,176,112,fed777,snapdragon
30.51,226,168,108,ffcf73,banana-cream
31.48,226,168,104,fdc04e,daffodil
22.59,236,183,151,e2b051,yolk-yellow
44.75,247,216,125,e2a829,golden-rod
34.89,251,192,110,eca825,old-gold
41.05,223,181,90,f7b718,spectra-yellow
50.77,215,195,85,fbd897,golden-haze
41.48,237,191,88,dfc08a,sahara-sun
43.12,241,196,81,d7b57f,new-wheat
36.59,247,183,83,edc373,cornsilk
47.7,247,206,47,f1bf70,buff-yellow
45,248,200,56,f7c46c,sunset-gold
41.51,255,198,70,f7b768,golden-cream
38.4,255,183,55,f8ce97,impala
38.9,250,173,31,ffc87d,flax
27.52,239,167,106,ffc66e,pale-marigold
33.93,221,168,99,fab75a,amber-yellow
39.87,235,185,86,efad55,amber
33.03,252,172,74,dda758,golden-apricot
32.31,249,153,41,eba851,beeswax
42.96,217,171,55,fcb953,banana
359,242,146,165,f9ac2f,citrus
359,211,111,158,d99938,golden-glow
359,167,100,142,f2ab46,artisans-gold
70,153,155,143,d39237,sunflower
8,195,156,150,a76f1f,buckthorn-brown
9.43,207,148,137,99642c,cathay-spice
16.36,202,138,114,c39b6a,taffy
359,190,122,160,cf9c63,oak-buff
359,187,107,158,ca9456,honey-yellow
359,172,91,137,be8a4a,spruce-yellow
127.06,129,197,137,bb7a2c,inca-gold
39.8,222,189,124,ac6b29,sudan-brown
43.16,220,188,106,815b37,rubber
41.9,227,189,101,dec5a5,wheat
45.71,230,195,83,dcbd9e,honey-peach
37.81,235,181,89,e3bc8e,desert-dust
36.38,224,161,64,e6bd8f,golden-straw
59.57,210,209,72,ebc396,buff
45.95,242,205,84,e0b589,desert-mist
42.03,250,194,63,d2a172,clay
42.99,246,189,45,f2d1a0,golden-fleece
44.04,241,187,38,facd9e,apricot-sherbet
40.67,255,178,16,f6c289,sunburst
42.34,247,184,33,f1bd89,apricot-cream
49.6,255,220,53,ffbb7c,buff-orange
34.67,250,155,25,f7b26a,chamois
359,219,150,153,ffb865,warm-apricot
8.65,225,136,121,fadc53,marigold
21,207,142,107,db9b59,golden-nugget
21.77,209,137,96,e19640,butterscotch
53.11,190,176,68,d18e54,buckskin
31.28,255,165,67,d0893f,yam
24.61,255,150,77,be752d,golden-oak
17.06,238,160,129,ffb000,gold-fusion
15.91,255,158,123,ffa500,saffron
14.04,252,144,111,ee9626,cadmium-yellow
10.95,241,129,104,ffa010,zinnia
44.31,224,190,94,fc9e21,radiant-yellow
27.6,251,170,101,f19035,apricot
28,236,156,86,e08119,dark-cheddar
36.92,221,151,39,fbbe99,apricot-ice
26.87,221,131,58,ecaa79,apricot-nectar
24.25,208,121,62,dd9c6b,gold-earth
29.15,199,126,57,dd9760,apricot-tan
48.41,205,177,60,d08344,topaz
35,255,170,51,c77943,golden-ochre
33.07,254,162,49,cd7e4d,apricot-buff
30.36,245,163,79,ffb181,peach-cobbler
30.55,255,147,35,feaa7b,salmon-buff
34.13,236,142,18,f5a26f,pumpkin
25.15,222,125,55,ffa368,mock-orange
25.96,210,113,39,ec935e,muskmelon
29.28,228,121,19,de8e65,copper-tan
16.32,220,121,84,d27d56,coral-gold
9.55,220,109,88,e47127,russet-orange
10.08,216,107,85,dc793a,orange-ochre
20.41,200,103,53,dc793e,amberglow
17.79,200,98,55,d86d39,jaffa-orange
42.59,213,166,51,c86b3c,apricot-orange
28.79,255,139,32,c86733,burnt-orange
20,251,141,86,d56231,harvest-pumpkin
19.89,255,136,77,ffa64f,blazing-orange
21.12,255,128,59,fb8b23,flame-orange
18.07,244,121,68,ff8812,autumn-glory
26.11,255,133,39,f48037,sun-orange
27.39,243,143,59,f47327,persimmon-orange
359,248,140,168,ff7913,orange-popsicle
359,255,122,172,f38554,autumn-sunset
359,250,106,159,f88f58,tangerine
359,236,103,149,ff8c55,bird-of-paradise
359,245,116,154,fa7a35,orange-peel
359,255,134,148,ec6a37,mandarin-orange
359,255,119,152,f56733,golden-poppy
359,243,111,158,ff7420,vibrant-orange
359,253,105,134,ff8656,nectarine
359,243,86,130,f3774d,coral-rose
359,240,99,122,fd6f3b,carrot
359,249,85,91,f36944,firecracker
45.1,242,205,93,f05627,red-orange
43.26,255,202,65,f9633b,vermillion-orange
30.26,252,194,135,f2552c,flame
31.68,244,185,119,ffcda8,creampuff
31.48,251,193,129,fccaac,bleached-apricot
31.6,248,186,117,f4c29f,almond-cream
35.27,244,190,113,fbb995,beach-sand
33.85,255,187,99,f8c19a,cream-blush
30.35,255,170,83,f4ba94,caramel-cream
34.84,237,172,82,ffbe98,peach-fuzz
21.82,251,146,86,ffbb9e,prairie-sunset
17.5,225,123,81,edaa86,coral-sands
18.05,206,120,83,fbac82,apricot-wash
13.97,206,94,60,e1927a,canyon-sunset
53.54,183,169,53,ce7b5b,brandied-melon
32.54,242,161,65,ce785d,carnelian
29.18,255,161,72,b75e41,mango
27.59,250,149,63,f2a987,peach
29.1,234,148,67,ffa177,cantaloupe
26.76,249,136,45,faa181,coral-reef
18.32,254,122,64,ea9575,shell-coral
18.68,226,111,59,f99471,cadmium-orange
20.9,209,108,54,fe8863,melon
359,202,101,178,e27a53,dusty-orange
359,201,114,168,d16f52,arabesque
359,223,90,152,ca6c56,langoustino
359,194,79,155,c96551,ginger
359,187,81,128,df7253,flamingo
359,190,93,134,c25a3c,orange-rust
359,182,87,111,bb4f35,burnt-ochre
359,179,88,132,be5141,chili
359,161,63,119,b65d48,ginger-spice
359,159,68,116,a15843,auburn
359,156,69,104,8d3f2d,picante
359,151,58,91,9f4440,tandori-spice
36.86,255,196,102,9c453b,cinnabar
32.64,248,191,123,973a36,bossa-nova
23.55,232,167,125,ffc4b2,tropical-peach
29.71,222,170,119,f8bfa8,peach-parfait
24,210,147,105,e8a798,coral-pink
24.88,226,154,103,deaa9b,dusty-pink
17.29,211,127,93,d29380,muted-clay
26.23,227,142,76,e29a86,shrimp
21.72,206,132,90,d37f6f,tawny-orange
21.9,211,131,85,e38e84,coral-haze
28.06,189,123,65,ce8477,canyon-clay
21.6,173,109,73,d38377,terra-cotta
18.14,161,101,75,bd7b74,desert-sand
18.14,162,102,76,ad6d68,light-mahogany
33.97,194,135,58,a1655b,cedar-wood
21.48,181,129,100,a26666,withered-rose
28.91,180,123,70,c2877b,rose-dawn
